,Airport.Code,Airport.Location,Airport.Name,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Security,Statistics.# of Delays.Total,Statistics.# of Delays.Weather,Statistics.Carriers.Names,Statistics.Carriers.Total,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Diverted,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Security,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather,Time.Label,Time.Month,Time.Month Name,Time.Year
0,ATL,"Atlanta, GA",Hartsfield-Jackson Atlanta International,1009,1275,3217,17,5846,328,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",11,216,5843,27,23974,30060,61606,68335,118831,518,268764,19474,2003-06-01,6,June,2003
1,TPA,"Tampa, FL",Tampa International,226,327,524,3,1122,42,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",11,12,1122,11,4256,5401,11012,18558,19078,112,51364,2604,2003-06-01,6,June,2003
2,SLC,"Salt Lake City, UT",Salt Lake City International,363,290,352,15,1056,36,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.",10,34,1057,0,9491,10582,16227,13883,10512,556,42863,1685,2003-06-01,6,June,2003
3,SFO,"San Francisco, CA",San Francisco International,416,312,1080,14,1881,59,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",11,83,1880,9,8211,10183,22673,17879,45407,1138,90487,3390,2003-06-01,6,June,2003
4,SEA,"Seattle, WA",Seattle/Tacoma International,448,552,454,28,1518,36,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,63,1516,9,7658,9246,22647,28119,13860,1097,68673,2950,2003-06-01,6,June,2003
5,SAN,"San Diego, CA",San Diego International,324,349,341,8,1052,30,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,20,1052,4,5775,6851,15034,15747,10449,223,43215,1762,2003-06-01,6,June,2003
6,PHX,"Phoenix, AZ",Phoenix Sky Harbor International,491,569,664,19,1784,41,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,57,1783,10,12158,14008,26512,27458,18673,768,76031,2620,2003-06-01,6,June,2003
7,PHL,"Philadelphia, PA",Philadelphia International,338,565,1083,1,2051,64,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",12,83,2049,20,6917,9069,16478,31005,45538,21,97173,4131,2003-06-01,6,June,2003
8,ORD,"Chicago, IL",Chicago O'Hare International,801,982,2947,11,4898,157,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",12,261,4899,38,24997,30195,54296,55855,135851,604,257007,10401,2003-06-01,6,June,2003
9,MSP,"Minneapolis, MN",Minneapolis-St Paul International,428,376,759,9,1678,106,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.",11,101,1678,11,10404,12194,27468,20994,23137,529,78259,6131,2003-06-01,6,June,2003
