,Airport.Name,Latitude,Longitude,Chance of Delay,geometry
0,Salt Lake City International,40.7899,-111.9791,15.030975218295344,POINT (-111.9791 40.7899)
1,Phoenix Sky Harbor International,33.4352,-112.0101,16.3097759073242,POINT (-112.0101 33.4352)
2,Chicago Midway International,41.7868,-87.7522,17.338880869491383,POINT (-87.7522 41.7868)
3,Denver International,39.8561,-104.6737,17.596134703512494,POINT (-104.6737 39.8561)
4,Dallas/Fort Worth International,32.8998,-97.0403,17.70656989769978,POINT (-97.0403 32.8998)
5,Baltimore/Washington International Thurgood Marshall,39.1774,-76.6684,17.91967423709916,POINT (-76.6684 39.1774)
6,George Bush Intercontinental/Houston,29.9902,-95.3368,17.9233585961624,POINT (-95.3368 29.9902)
7,Charlotte Douglas International,35.2144,-80.9473,18.368433679948037,POINT (-80.9473 35.2144)
8,Detroit Metro Wayne County,42.2162,-83.3554,18.523336342712156,POINT (-83.3554 42.2162)
9,Portland International,45.5152,-122.6784,18.55547927747918,POINT (-122.6784 45.5152)
10,Minneapolis-St Paul International,44.8848,-93.2223,18.558128461519182,POINT (-93.2223 44.8848)
11,San Diego International,32.7338,-117.1933,18.61176073313288,POINT (-117.1933 32.7338)
12,Los Angeles International,33.9416,-118.4085,18.679445214542977,POINT (-118.4085 33.9416)
13,Ronald Reagan Washington National,38.8512,-77.0402,18.724723081463214,POINT (-77.0402 38.8512)
14,McCarran International,36.084,-115.1537,19.179532746931176,POINT (-115.1537 36.084)
15,Washington Dulles International,38.9531,-77.4565,19.37170017658817,POINT (-77.4565 38.9531)
16,Tampa International,27.9772,-82.5311,19.375773125351742,POINT (-82.5311 27.9772)
17,Orlando International,28.4179,-81.3041,19.459701874664603,POINT (-81.3041 28.4179)
18,Seattle/Tacoma International,47.4502,-122.3088,20.0690106478897,POINT (-122.3088 47.4502)
19,Hartsfield-Jackson Atlanta International,33.6407,-84.4277,21.760254723653404,POINT (-84.4277 33.6407)
20,Miami International,25.7959,-80.2871,21.765257123074676,POINT (-80.2871 25.7959)
21,Fort Lauderdale-Hollywood International,26.0742,-80.1506,22.12449681475877,POINT (-80.1506 26.0742)
22,Logan International,42.3656,-71.0096,22.148546337888035,POINT (-71.0096 42.3656)
23,Chicago O'Hare International,41.9803,-87.909,23.483275133795352,POINT (-87.909 41.9803)
24,Philadelphia International,39.8729,-75.2437,23.913933447853058,POINT (-75.2437 39.8729)
25,John F. Kennedy International,40.6413,-73.7781,24.843674151504164,POINT (-73.7781 40.6413)
26,San Francisco International,37.6213,-122.379,25.570274285353406,POINT (-122.379 37.6213)
27,LaGuardia,40.7769,-73.874,26.845285378977675,POINT (-73.874 40.7769)
28,Newark Liberty International,40.6895,-74.1745,30.389898226185448,POINT (-74.1745 40.6895)
